Job Title,Description,District,Work Mode
Analista Programador de Tecnologías de la información,"Publicado hace 5 días
El Agustino, Lima, Peru
IQFARMA, Laboratorio farmacéutico nacional con más de 61 años al servicio de la salud, dedicado a la fabricación y comercialización de productos de marca de diferentes especialidades farmacéuticas y genéricos de calidad que se distribuyen con gran éxito en el mercado privado e institucional. Actualmente nos encontramos en la búsqueda de: Analista de Tecnologías de la información.
Descripción del puesto
Requisitos:
Profesionales en Ingenieria de Sistemas o carreras a fines
Manejo de Office a nivel avanzado
3 años de experiencia laboral como mínimo en el desarrollo de aplicaciones Web sobre Plataforma en .Net y base de datos.- Experiencia en Desarrollo e implementación sistemas.
Experiencia en desarrollo de proyectos particulares

Habilidades duras:
*SQL server experto
*JavaScript (Jquery y Json) experto
*Aplicaciones web responsive experto
*Visual sstudio 2019 C# experto
*Visual studio 2010 C# intermedio
*Python intermedio (u otras herramientas de IA)
*Team Foundation
*Azure Devops
Habilidades blandas:
*Capacidad de análisis
*Lógica
*Comunicación
*Proactividad
Funciones:
Desarrollo de softwares según la necesidad de la empresa.
Documentar todos los softwares desarrollados.
Impulsar y promover el uso de herramientas de inteligencia artificial en los proyectos.
Detección de oportunidades y proponer mejoras según análisis
Optimizar constantemente todas las capas del software desde la base de datos hasta el front - end.
Cumplir y hacer cumplir los procedimientos de la empresa.
Participar en reuniones con los diversos equipos involucrados para definir la solución de las iniciativas.
Cumplir con los tiempos asignados en los desarrollos de requerimientos de usuario y reportar avances de las actividades realizadas.
Velar por el correcto funcionamiento de los softwares desarrollados permanentemente..","El Agustino, Lima, Peru",Presencial
Frontend Developer React,"Múltiples vacantes
Actualizado hace 2 días
Pueblo Libre, Lima, Peru
Descripción del puesto
ZUTUN. es una empresa de software boutique con amplia experiencia en banca, seguros, fintech y retail. Nuestro colectivo funciona como un verdadero equipo, valorando la colaboración, la sinergia y el apoyo mutuo entre nuestros miembros, reconociendo que el talento es el núcleo y el equipo es quien juega el partido.
Te invitamos a participar de proceso FRONTEND DEVELOPER REACT y ser parte de esta experiencia:
REQUISITOS:
Experiencia mínima de 2 años con React JS en aplicaciones SSG (Static Site Generation).
Experiencia mínima de 2 años de experiencia Typescript.
Experiencia de 1 año con aplicaciones web SSR (Server Side Rendering) o híbridas desarrolladas con Node.
CSS avanzado: Animaciones, variables, preprocesadores (SASS/SCSS).
Frameworks de CSS: Tailwind CSS, Materialize.
Conocimiento de patrones de diseño aplicado al frontend.
Manejo de Git (GitHub o GitLab)
Pruebas unitarias.
Aplicación de semanticismo y accesibilidad en la web.
Ideal conocimiento de: Core Web Vitals, SEO, Analítica digital (Ej. Google Analytics), AWS, IaC,
Plataformas, ARC XP (CMS) y/o PIANO.
¿QUE OFRECEMOS?
Oportunidades de aprendizaje, donde tú eres responsable de tu desarrollo.
Trabajo en base al sentido común, metas, flexibilidad de horarios y de manera hibrida.
Una organización totalmente horizontal, donde se escuchan tus ideas y opiniones, sin jerarquías ni egos, basado en nuestra cultura C+
Consideraciones: Recibo por honorarios, tiempo de contratación: 3 meses renovables.
Híbrido
Programación
Full-time, Temporal
Semi Sr
2 vacantes disponibles
Conocimientos y habilidades valorados
React - Intermedio",Actualizado hace 2 días,Híbrido
Analista Programador Power Builder Junior,"Múltiples vacantes
Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
Importante empresa del sector, se encuentra en la búsqueda de un Analista Junior, Programador Power Builder que cumple con el siguiente perfil:
Requisitos:
Egresado técnico o Universitartio de Ing. Sistemas.
Contar con 1 año de exp. minima en el cargo.
Experiencia con Microsoft Visual SourceSafe Explorer.
Manejo de herramientas como Oracle , base de datos, elaborar scripts y procedimientos.
Experiencia en Programación PowerBuilder 1 1, 1 2, o posterior.
Experiencia con Html, asp, javascript, jquery Java (Deseable).
Funciones:
Analizar, diseñar, desarrollar e implementar nuevas soluciones o proyectos informáticos mediante el uso de las tecnologías de información, dar mantenimiento y soporte a los sistemas del cliente servidor.
Mantener la disponibilidad de los sistemas educativos y administrativos de la organización de manera proactiva.
Administrar el óptimo funcionamiento de los sistemas y encontrar oportunidades de mejora.",Publicado hace 2 días,Remoto
DESARROLLADOR FRONT IOS,"Múltiples vacantes
Actualizado hace 2 días
Comas, Lima, Peru
Descripción del puesto
Summit Consulting es una empresa líder en soluciones tecnológicas, comprometida con el desarrollo de proyectos innovadores y la mejora constante de nuestros servicios. Actualmente, estamos en búsqueda de un Desarrollador Front-end Android altamente motivado y con experiencia para unirse a nuestro equipo dinámico.
Requisitos:
Mínimo 3 años desarrollando aplicaciones nativas para iOS preferiblemente para el sector financiero.
Experiencia en desarrollo de interfaces (UI/UX) optimizadas, intuitivas y accesibles.
Conocimiento comprobado y sólido en frameworks para iOS y Android, manejo de APIs RESTful.
Experiencia trabajando bajo metodologías ágiles (Scrum) y cascada.
Familiarizado con herramientas de integración continua (CI/CD).
Conocimientos comprobados en SWIFT
Formación Académica:
Técnico en las Carreras: Ingeniería de Sistemas, Ingeniería Informática, Ingeniería de Software o afines.
Bachiller y afines
Titulación y afines Especialización:
Desarrollar Nativo ¡OS - Avanzado
Diseño y Experiencia de Usuario (UI/UX) - Intermedio
Metodologías Ágiles / Cascada - Intermedia
Otros conocimientos:
Ofimática (Word, Excel, PowerPoint) – Intermedio
Ingles a nivel intermedio (deseable) – Intermedio
Manejo de Jira – Intermedio Competencias
Pensamiento Crítico
Resolución de Problemas
Comunicación Asertiva
Trabajo en equipo
Flexibilidad al cambio
Empatía
Negociación
Toma de Decisiones
Liderazgo
Orientación a Resultados
Objetivo del Puesto:
Desarrollar interfaces atractivas, seguras y altamente funcionales en aplicaciones nativas para iOS, asegurando experiencias óptimas para el usuario y alineadas a los objetivos bajo metodologías ágiles y/o cascada.
Funciones del Puesto:
Disponibilidad para laborar de lunes a viernes de 8:00 am - 6:45 pm
Desarrollar aplicaciones móviles nativas para iOS utilizando frameworks actuales.
Implementar interfaces de usuario optimizadas basadas en diseños y principios UI/UX, asegurando accesibilidad y rendimiento.
Integrar servicios y APIs RESTful, manejando respuestas JSON y consumo eficiente de recursos.
Aplicar y promover buenas prácticas técnicas: Clean Architecture, patrones de diseño, modularización y Testing Automatizado (unitario y UI).
Participar activamente en revisiones de código, manteniendo estándares de calidad y seguridad.
Coordinar estrechamente con los equipos de diseño UX/UI, backend y QA para asegurar una integración efectiva.
Documentar adecuadamente código y arquitectura técnica.
Proponer mejoras técnicas y funcionales que impulsen la innovación continua y la calidad del producto.
Si cuentas con las habilidades y experiencia necesarias para esta posición, no dudes en postular. Estamos ansiosos por recibir tu aplicación y conocer más acerca de ti. 🔔 ¡Únete a nuestro equipo y sé parte del éxito de Summit SAC!
(NOTA: Solo se va considerar los postulantes que cumplan específicamente con el perfil)",Actualizado hace 2 días,Híbrido
Analista Programador de Sistemas - Híbrido,"Actualizado hace 2 días
Santa Anita, Lima, Peru
Descripción del puesto
Tecsup, instituto líder en educación tecnológica con 40 años en el mercado formando profesionales innovadores y éticos. Reconocido como una de las mejores instituciones educativas para trabajar. ¡Postula y únete a nuestra COMUNIDAD DE INNOVADORES!
En esta oportunidad se busca un Analista Programador de Sistemas con las siguientes características:
Perfil Profesional:
Profesional de la carrera de Desarrollo de Software o similares.
Experiencia mínima de 5 años como programador de sistemas, Desarrollador Full Stack de sistemas o similares.
Conocimiento en Lenguaje de Programación JAVA, JavaScript, JSON, Angular.
Conocimiento de estandares de diseño web.
Conocimiento de PL/SQL.
Conocimiento en metodologías ágiles.
Funciones:
Atender los requerimientos de los usuarios para mejora o nuevas funcionalidades de los sistemas de información.
Analizar los requerimientos del usuario, con la finalidad de entender las necesidades correspondientes.
Plantear mejoras a las aplicaciones existentes con la finalidad de agilizar el trabajo del usuarioRealizar el control de calidad de las aplicaciones para un correcto funcionamiento del mismo.
Realizar el mantenimiento de aplicaciones por nuevas funcionalidades solicitadas por el usuario.
Investigar y proponer nuevas herramientas de TI en el mercado en lugar de desarrollarlas.
Asesorar a otras áreas en los proyectos relacionados a TI.
Capacitar al usuario en el uso de la aplicación a fin de mantener permanentemente actualizado frente a los cambios tecnológicos.
Elaborar y actualizar los manuales de usuario para el uso de los colaboradoresMonitorear el avance de las actividades asignadas a los programadores web.
Elaborar y actualizar la documentación de los sistemas informaticos existentes.
Desarrollar nuevas aplicaciones para atender las necesidades de los usuarios.
Importante considerar:
Modalidad de trabajo: Hibrido
Horario de trabajo: Lunes a Viernes de 8:00 am a 6:00pm
Lugar de Trabajo: Santa Anita
""En Tecsup nos comprometemos con la igualdad de oportunidades. Todas las personas serán consideradas en el proceso de postulación"".","Santa Anita, Lima, Peru",Híbrido
Desarrollador en Automatización,"Publicado hace 12 días
Santiago de Surco, Lima, Peru
Descripción del puesto
Ven a Industrias San Miguel! ¡Somos un equipo unido por un mismo propósito! “Dar todo nuestro espíritu emprendedor para alimentar juntos un futuro próspero”. Intégrate como Desarrollador en Automatización en la sede Surco en Perú.
Misión: Responsable de los diferentes procesos clave dentro del proceso de automatización e innovación, así como asistir en el mapeo de procesos, definición de flujos de trabajo a automatizar y desarrollo de servicios digitales.
¿Qué perfil buscamos?
Bachiller o Titulado en Ingeniería de Sistemas, Ingeniería Informática, Ingeniería Industrial o afines.
Experiencia mínima de 02 años en áreas de informática o de mantenimiento y desarrollo informático.
Adicionalmente: Haber trabajado y desarrollado aplicaciones en Office 365 y tener conocimiento sobre innovación y metodologías agiles.
Herramientas: Power Automate, Power Apps, Power pages. Manejo de bases de datos (Sharepoint, Dataverse, SQL). Innovación, Metodologías Ágiles, Scrum.
Inglés intermedio - avanzado.
¿Cuáles serán tus principales funciones y responsabilidades?
Automatizar sistemas utilizando las diversas herramientas de programación a su disposición, para poder generar eficiencia de los procesos encargados.
Responsable de la puesta en marcha de los sistemas automatizados en el área de innovación y mejora continua.
Analizar los procesos asignados para dar claridad al trabajo de automatización y proponer mejoras a los mismos, desde un punto de vista técnico.
Documentar los proyectos generados por el área para poder usar esta información como base para otros proyectos, así como mesurar diferentes variables del mismo.
Asistir a las reuniones de automatización de procesos, para poder dar el punto de vista técnico en los diferentes proyectos de automatización a implementar.
Ser responsable de asistir en proyectos contratados con terceros a fin de garantizar el cumplimiento de la operatividad y satisfacer los objetivos de las áreas involucradas.
¿Qué beneficios tenemos para ti?
Pertenecer a una empresa peruana con presencia a nivel internacional.
Ingreso a planilla con todos los beneficios de ley.
Capacitaciones constantes.
Modalidad: Presencial (Surco - Lima)
Horario: Lunes a Viernes 8am - 6pm

“ESMS SAC mantiene una política de contratación inclusiva, por lo que de acuerdo a la Ley N°29973, Ley General de la Persona con Discapacidad la convocatoria es abierta
Presencial
Programación
Full-time, Indeterminado
Junior
1 vacante disponible","Santiago de Surco, Lima, Peru",Presencial
"Desarrollador Python – Especialista en Modelos de IA, Machine Learning y Deep Learning","Actualizado hace 4 días
Lima, Lima, Peru
Descripción del puesto
Importante empresa de rubro de Tecnología con presencia en Latinoamerica, nos encontramos en la busqueda de un Desarrollador Python – Especialista en Modelos de IA

Si tienes experiencia como Desarrollador Python – Especialista en Modelos de IA, Machine Learning y Deep Learning y buscas un nuevo desafío, ¡esta oportunidad es para ti! 💻
📊 Buscamos un Desarrollador Python – Especialista en Modelos de IA que participe en la creación, optimización y despliegue de modelos de aprendizaje profundo, con énfasis en visión por computadora.
📌 Requisitos
🎓 Formación Académica:
✅ Titulado, Bachiller o Técnico en Computación, Sistemas y/o afines con conocimiento en inteligencia artificial, aprendizaje automático y creación de aplicaciones.
🛠️ Conocimientos Técnicos:
🔹 Experiencia en en creación, optimización y despliegue de modelos de aprendizaje profundo, con énfasis en visión por computadora no menor a 3 años.
🔹 Experiencia en frameworks de IA como TensorFlow, PyTorch, y bibliotecas de visión como OpenCV y MMDetection
🔹 Sólidos conocimientos sólidos en redes neuronales convolucionales (CNNs), redes recurrentes (RNNs), y redes profundas (DNNs), particularmente en modelos para reconocimiento de objetos y OCR..
🔹 Familiaridad con modelos avanzados de visión, como YOLO, SSD, EfficientNet y variantes de Transformer aplicados a visión (e.g., Vision Transformers).

📌 Lo que ofrecemos
✨ Oportunidad de crecimiento y aprendizaje continuo.
✨ Participación en proyectos desafiantes y tecnologías innovadoras. ✨ Modalidad de trabajo flexible (según política de la empresa).
✨ Excelente ambiente de trabajo en equipo.
Presencial
Programación
Full-time, Indeterminado
Semi Sr
1 vacante disponible","Lima, Lima, Peru",Presencial
Junior Fullstack developer,"Postulación rápida
Múltiples vacantes
Publicado ayer
Lima, Peru
Descripción del puesto
Actividades y Responsabilidades
En búsqueda de desarrolladores junior para trabajar en desarrollo Front end y backend. Se requiere conocimientos sólidos en TypeScript y React, así como comprensión del inglés ya que los clientes son extranjeros. El conocimiento en programación funcional también es bienvenido.
Requisitos
Conocimiento de inglés y de las tecnologías mencionadas.
Para postularse, haga clic en el siguiente enlace:
https://westpoint.airtec.ai/render/junior-fullstack-developer-qh-rv7
Remoto
Programación
Full-time, Indeterminado
Junior
3 vacantes disponibles
Conocimientos y habilidades valorados
Java Script - Básico
Node.js - Básico
PostgreSQL - Básico
MongoDB - Básico
React - Básico",Múltiples vacantes,Remoto
Consultor SAP,"Publicado ayer
San Isidro, Lima, Peru
Descripción del puesto
Somos una Empresa Transnacional especializada en Consultoría, tenemos más de 20 años de experiencia brindando soluciones especializadas pensadas de acuerdo a las necesidades de nuestros clientes. Contamos con una cartera de más de 1,500 clientes dentro de las operaciones de Grupo Siglo (Perú, Chile, Colombia, Ecuador, Panamá, Costa Rica y México). Somos líderes en brindar servicios de Consultoría contable, financiera y tributaria a importantes empresas de diferentes rubros a nivel nacional como internacional.
Requisitos:
Estudiante, Egresado técnico o universitario en Ingeniería de Sistemas, Informática y/o afines
Experiencia de 1 a 2 años en el manejo de SAP B1. a partir de versión 10 SQL / Hana (Indispensable)
Conocimiento de base de MS SQL Server. (Indispensable)
Conocimiento de base de HANA. (Indispensable)
Conocimiento de la metodología AIP
Conocimiento de desarrollo y soporte de ADDONs
Conocimiento de Query Manager y Crystal Report. (Indispensable)
Conocimiento de validaciones Post Transaction de SAP. (Indispensable)
Desarrollo usando SDK DI y UI de SAP B1. (Deseable)
Conocimiento de lenguaje de programación C# (Deseable)
Conocimiento de Excel y procesos contables (Deseable)
Funciones:
La posición debe dar soporte en el ERP SAP B1 a todas las empresas que manejamos, incluyendo algunos desarrollos
Creación de usuarios, asignar permisos y validar licencias
Acompañamiento a usuarios en cierres de períodos
Implementación de nuevas empresas
Capacitar a usuarios en el uso del sistema","San Isidro, Lima, Peru",Remoto
Desarrollador DevOps,"Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Actualmente, estamos en búsqueda de un Desarrollador DevOps Senior para sumarse a nuestro equipo.
🔍 ¿Qué buscamos?
✅ Mínimo 4 años de experiencia en desarrollo de aplicaciones de software.
✅Experiencia en CI/CD para aplicaciones móviles (Android / iOS) y conocimiento de las diferentes tiendas de aplicaciones en donde se realiza el despliegue de nuevas versiones de aplicaciones web, mobile, etc.
✅ Mínimo 2 años creando pipelines de complejidad intermedia con Shell scripting, Ansible y Groovy.
✅ Mínimo 2 años en despliegue de componentes en Kubernetes, microservicios y soluciones en servicios PaaS.
✅ 2-3 años resolviendo incidencias de complejidad intermedia en herramientas de DevSecOps.
✅Certificación DevOps Fundamentals (deseable).
✅ Certificación Microsoft Azure Fundamentals AZ900 o equivalente (deseable).","Lima, Lima, Peru",Híbrido
